customer_id,points_score,annual_spend,status
C0186,8400,1870.13,Silver
C0555,11225,2755.22,Gold
C0370,10276,2311.8,Gold
C0659,13085,2397.92,Gold
C0327,9921,1865.49,Silver
C0617,14032,3081.79,Gold
C0143,8053,1921.19,Silver
C0142,8151,1606.35,Silver
C0614,12813,2928.4,Gold
C0020,7130,1745.31,Silver
C0173,8995,2068.68,Silver
C0543,11385,2226.65,Gold
C0013,7330,1982.77,Silver
C0306,9948,1784.84,Silver
C0026,7413,1806.2,Silver
C0483,10823,2607.42,Gold
C0170,8719,1829.93,Silver
C0444,10910,1789.41,Gold
C0572,13521,3076.98,Gold
C0246,9412,2028.33,Silver
C0299,9661,2045.66,Silver
C0413,10434,2532.76,Gold
C0273,9368,1774.81,Silver
C0155,8253,1993.87,Silver
C0127,8896,1708.75,Silver
C0438,10656,2643.87,Gold
C0288,9396,2071.46,Silver
C0114,8150,1825.34,Silver
C0345,9971,1842.63,Silver
C0174,8160,2129.35,Silver
C0334,9837,1920.94,Silver
C0058,7130,1882.88,Silver
C0523,11329,2907.99,Gold
C0223,9301,1789.67,Silver
C0281,9272,1927.66,Silver
C0018,7871,2020.14,Silver
C0381,10151,2527.62,Gold
C0323,9565,1947.87,Silver
C0256,9407,2137.06,Silver
C0608,12250,3054.89,Gold
C0641,12431,2786.57,Gold
C0191,8954,1865.73,Silver
C0560,11505,2737.29,Gold
C0589,14852,2701.34,Gold
C0534,11699,2691.56,Gold
C0095,7771,1821.66,Silver
C0181,8503,1845.13,Silver
C0302,9758,1952.44,Silver
C0474,10980,2930.87,Gold
C0422,10211,2506.89,Gold
C0574,12726,2593.04,Gold
C0399,10334,2663.43,Gold
C0006,7071,1722.06,Silver
C0046,7975,2030.79,Silver
C0519,11822,2524.79,Gold
C0576,14641,2879.64,Gold
C0488,10626,2734.02,Gold
C0017,7099,1545.52,Silver
C0049,7957,2069.68,Silver
C0647,14864,3180.52,Gold
C0612,13631,3071.56,Gold
C0004,7270,1531.84,Silver
C0447,10742,2596.98,Gold
C0396,10219,2723.55,Gold
C0317,9802,1860.93,Silver
C0284,9083,1833.12,Silver
C0466,10862,2759.96,Gold
C0286,9216,1959.16,Silver
C0426,10896,2434.5,Gold
C0226,9498,1851.15,Silver
C0027,7805,1997.08,Silver
C0527,11084,2587.54,Gold
C0264,9496,1833.12,Silver
C0051,7957,1763.71,Silver
C0365,10228,2135.47,Gold
C0230,9336,1675.54,Silver
C0038,7856,1823.46,Silver
C0158,8509,2238.41,Silver
C0238,9114,1754.51,Silver
C0642,12704,2557.47,Gold
C0375,10349,2235.68,Gold
C0371,10197,2264.93,Gold
C0176,8800,2202.11,Silver
C0619,12317,2851.39,Gold
C0445,10594,2520.02,Gold
C0195,8021,1966.54,Silver
C0633,14050,2723.79,Gold
C0484,10632,2407.0,Gold
C0646,12398,2853.73,Gold
C0573,12826,3140.64,Gold
C0068,7315,1515.42,Silver
C0409,10334,2449.81,Gold
C0169,8162,1826.83,Silver
C0437,10760,2282.47,Gold
C0163,8913,2088.08,Silver
C0310,9977,2158.16,Silver
C0194,8374,2333.77,Silver
C0457,10829,2754.62,Gold
C0366,10376,2474.53,Gold
C0384,10246,2437.41,Gold
C0551,11933,2605.46,Gold
C0153,8103,2184.91,Silver
C0418,10409,2507.32,Gold
C0430,10864,2373.57,Gold
C0227,9241,1858.15,Silver
C0446,10614,2672.32,Gold
C0537,11896,2235.85,Gold
C0104,8639,1883.47,Silver
C0502,11417,2430.29,Gold
C0075,7339,1906.95,Silver
C0116,8989,1793.05,Silver
C0408,10193,2479.15,Gold
C0645,14632,2596.3,Gold
C0120,8763,2223.2,Silver
C0498,11050,1840.08,Gold
C0152,8421,1826.72,Silver
C0404,10485,2608.37,Gold
C0630,12339,2810.27,Gold
C0208,9178,1713.23,Silver
C0425,10793,2323.79,Gold
C0452,10782,2301.28,Gold
C0435,10656,2087.32,Gold
C0517,11909,2318.82,Gold
C0009,7614,1614.24,Silver
C0486,10792,2511.01,Gold
C0037,7747,1984.44,Silver
C0140,8130,1923.3,Silver
C0254,9356,2047.11,Silver
C0304,9805,2101.93,Silver
C0587,13121,2931.1,Gold
C0501,11263,2203.62,Gold
C0369,10149,2374.2,Gold
C0060,7818,1767.38,Silver
C0112,8472,2036.86,Silver
C0454,10647,2111.79,Gold
C0660,13868,2989.93,Gold
C0458,10859,2523.64,Gold
C0263,9465,1786.25,Silver
C0640,12292,2467.71,Gold
C0298,9264,1804.05,Silver
C0415,10299,2642.79,Gold
C0151,8419,1721.2,Silver
C0434,10514,2299.09,Gold
C0267,9151,1801.97,Silver
C0580,12401,2333.17,Gold
C0360,9839,2346.16,Silver
C0592,12182,2548.99,Gold
C0039,7560,1722.74,Silver
C0128,8303,2151.2,Silver
C0424,10019,2609.82,Gold
C0417,10325,2292.54,Gold
C0308,9735,1761.33,Silver
C0199,8229,2012.31,Silver
C0352,9632,1800.33,Silver
C0657,13325,2817.05,Gold
C0147,8627,1551.97,Silver
C0451,10798,2255.09,Gold
C0620,12244,2641.83,Gold
C0650,14041,3267.32,Gold
C0420,10323,2213.1,Gold
C0443,10629,2094.17,Gold
C0594,12038,3243.5,Gold
C0148,8586,1957.53,Silver
C0526,11150,2297.66,Gold
C0349,9605,1968.43,Silver
C0326,9602,2119.23,Silver
C0624,13771,2762.77,Gold
C0124,8571,1899.71,Silver
C0605,12738,2910.58,Gold
C0097,8147,2056.07,Silver
C0144,8119,1728.23,Silver
C0240,9390,1893.71,Silver
C0395,10467,2349.72,Gold
C0496,11228,2519.03,Gold
C0098,8863,1844.72,Silver
C0372,10069,2593.22,Gold
C0325,9934,2090.99,Silver
C0280,9285,2214.01,Silver
C0294,9444,1730.69,Silver
C0255,9456,2232.97,Silver
C0401,10117,2029.16,Gold
C0123,8623,2089.85,Silver
C0184,8134,1713.74,Silver
C0203,9162,1968.91,Silver
C0439,10546,2597.88,Gold
C0324,9574,1926.47,Silver
C0247,9375,2084.58,Silver
C0416,10132,2429.78,Gold
C0198,8037,1901.51,Silver
C0544,11706,2211.07,Gold
C0557,11939,2560.13,Gold
C0172,8680,1585.29,Silver
C0591,14983,2370.69,Gold
C0500,11603,2819.57,Gold
C0126,8001,2091.51,Silver
C0403,10093,2352.36,Gold
C0529,11623,2760.23,Gold
C0582,12614,3243.87,Gold
C0224,9385,1997.52,Silver
C0548,11531,3137.24,Gold
C0343,9665,1821.0,Silver
C0054,7566,1753.06,Silver
C0220,9396,1887.33,Silver
C0130,8651,1775.86,Silver
C0607,14461,2912.43,Gold
C0535,11081,2102.53,Gold
C0187,8639,1512.95,Silver
C0610,13804,2889.5,Gold
C0440,10823,2807.07,Gold
C0508,11119,2884.58,Gold
C0101,8488,2406.81,Silver
C0516,11468,2318.04,Gold
C0387,10030,2333.25,Gold
C0648,12963,2731.92,Gold
C0295,9232,1650.85,Silver
C0510,11490,2896.59,Gold
C0268,9150,1979.33,Silver
C0442,10672,2245.01,Gold
C0497,11578,3131.01,Gold
C0113,8945,2087.61,Silver
C0233,9092,2010.63,Silver
C0579,12934,2805.8,Gold
C0374,10003,2595.96,Gold
C0234,9409,2237.69,Silver
C0530,11380,2518.22,Gold
C0318,9906,1734.02,Silver
C0411,10391,2199.17,Gold
C0596,13372,2811.54,Gold
C0359,9772,2152.46,Silver
C0259,9176,2120.1,Silver
C0283,9061,1639.09,Silver
C0377,10445,1983.37,Gold
C0385,10386,2266.72,Gold
C0225,9252,1997.77,Silver
C0635,12375,2917.17,Gold
C0546,11118,2370.41,Gold
C0473,10972,2538.23,Gold
C0348,9746,2143.68,Silver
C0506,11077,2843.61,Gold
C0658,12010,2594.88,Gold
C0618,12476,2525.34,Gold
C0568,12628,2603.98,Gold
C0086,7080,2071.89,Silver
C0243,9113,2051.27,Silver
C0160,8098,2046.64,Silver
C0525,11672,2077.03,Gold
C0036,7252,2009.73,Silver
C0541,11522,2427.57,Gold
C0171,8956,1950.06,Silver
C0570,14930,2597.24,Gold
C0609,12758,2975.63,Gold
C0629,12920,2665.36,Gold
C0096,8146,1820.91,Silver
C0241,9195,2012.93,Silver
C0461,10699,2217.06,Gold
C0584,13182,2643.38,Gold
C0207,9444,1753.83,Silver
C0393,10005,2344.88,Gold
C0398,10003,1872.49,Gold
C0634,13165,2826.73,Gold
C0218,9043,1921.32,Silver
C0005,7106,1960.81,Silver
C0595,14544,2607.66,Gold
C0547,11395,2309.1,Gold
C0099,8710,2118.57,Silver
C0407,10440,2196.76,Gold
C0503,11802,2294.82,Gold
C0048,7189,1877.24,Silver
C0033,7459,1747.45,Silver
C0201,9395,2013.21,Silver
C0135,8232,2161.66,Silver
C0028,7385,1964.8,Silver
C0586,14235,2841.98,Gold
C0231,9089,1809.9,Silver
C0490,10996,2564.57,Gold
C0379,10349,2450.9,Gold
C0289,9186,1741.81,Silver
C0419,10117,2146.97,Gold
C0392,10222,2496.95,Gold
C0499,11608,2771.78,Gold
C0139,8207,1933.9,Silver
C0063,7840,1859.12,Silver
C0472,10709,2653.83,Gold
C0129,8253,2061.07,Silver
C0651,13828,2351.8,Gold
C0521,11977,2852.48,Gold
C0065,7273,1648.36,Silver
C0015,7087,1782.3,Silver
C0157,8111,2341.53,Silver
C0041,7058,1676.35,Silver
C0493,11053,2622.54,Gold
C0380,10094,2431.54,Gold
C0188,8032,1644.26,Silver
C0217,9042,2140.15,Silver
C0053,7875,1773.29,Silver
C0338,9934,2190.56,Silver
C0296,9402,2199.15,Silver
C0252,9163,1799.26,Silver
C0462,10522,2202.75,Gold
C0456,10753,2586.5,Gold
C0666,13333,2559.73,Gold
C0270,9223,2315.85,Silver
C0202,9177,1924.62,Silver
C0162,8860,1973.55,Silver
C0556,11052,2787.21,Gold
C0402,10368,2413.87,Gold
C0477,10815,2874.75,Gold
C0106,8337,2074.69,Silver
C0566,12390,3466.64,Gold
C0390,10035,2659.42,Gold
C0002,7435,1980.48,Silver
C0625,13262,2376.04,Gold
C0562,11363,2581.12,Gold
C0081,7508,1959.65,Silver
C0206,9416,2358.02,Silver
C0035,7021,1561.79,Silver
C0509,11813,2547.9,Gold
C0428,10802,2363.37,Gold
C0455,10510,2470.82,Gold
C0367,10288,3080.89,Gold
C0092,7389,1988.02,Silver
C0340,9981,1781.76,Silver
C0565,11713,2231.0,Gold
C0346,9834,1756.94,Silver
C0242,9313,1788.69,Silver
C0014,7458,1957.41,Silver
C0316,9754,1766.06,Silver
C0601,13449,2615.4,Gold
C0388,10039,2333.11,Gold
C0274,9182,2045.92,Silver
C0167,8705,1744.13,Silver
C0663,12771,3257.83,Gold
C0485,10875,2830.91,Gold
C0653,12938,2871.0,Gold
C0505,11087,2831.27,Gold
C0244,9492,2248.88,Silver
C0567,12334,2574.62,Gold
C0563,11279,2470.86,Gold
C0190,8459,2140.1,Silver
C0476,10603,3173.42,Gold
C0511,11911,2512.08,Gold
C0059,7484,1748.02,Silver
C0475,10610,2099.4,Gold
C0561,11853,2477.75,Gold
C0253,9393,1954.78,Silver
C0022,7308,1656.53,Silver
C0314,9900,1813.8,Silver
C0460,10633,2516.92,Gold
C0161,8152,1892.86,Silver
C0277,9216,2179.99,Silver
C0192,8882,1801.99,Silver
C0386,10242,2551.79,Gold
C0414,10172,2710.61,Gold
C0492,11327,2190.23,Gold
C0344,9980,1689.82,Silver
C0309,9888,1957.65,Silver
C0131,8452,1947.54,Silver
C0100,8819,1991.67,Silver
C0373,10111,2676.63,Gold
C0088,7561,2073.4,Silver
C0459,10537,2147.77,Gold
C0331,9793,1671.51,Silver
C0215,9167,1964.78,Silver
C0467,10895,3039.61,Gold
C0122,8345,1737.11,Silver
C0615,12028,2704.04,Gold
C0021,7661,2034.71,Silver
C0072,7345,1741.27,Silver
C0107,8871,1897.93,Silver
C0271,9036,2135.33,Silver
C0436,10635,2831.04,Gold
C0103,8935,1624.19,Silver
