zone,day,hour,block_id,assignment,minutes_into_block,wait_time_min
Austin,1,11,35,Treatment,50,4.55
Austin,1,11,35,Treatment,55,5.11
Austin,1,12,36,Treatment,0,4.39
Austin,1,12,36,Treatment,5,4.71
Austin,1,12,36,Treatment,10,4.53
Austin,1,12,36,Treatment,15,4.56
Austin,1,12,36,Treatment,20,4.67
Austin,1,12,36,Treatment,25,4.78
Austin,1,12,36,Treatment,30,4.54
Austin,1,12,36,Treatment,35,4.89
Austin,1,12,36,Treatment,40,4.34
Austin,1,12,36,Treatment,45,4.63
Austin,1,12,36,Treatment,50,5.28
Austin,1,12,36,Treatment,55,4.68
Austin,1,13,37,Control,0,4.65
Austin,1,13,37,Control,5,4.96
Austin,1,13,37,Control,10,5.0
Austin,1,13,37,Control,15,5.16
Austin,1,13,37,Control,20,5.01
Austin,1,13,37,Control,25,5.31
Austin,1,13,37,Control,30,4.99
Austin,1,13,37,Control,35,5.37
Austin,1,13,37,Control,40,5.47
Austin,1,13,37,Control,45,5.29
Austin,1,13,37,Control,50,5.13
Austin,1,13,37,Control,55,5.31
Austin,1,14,38,Treatment,0,5.43
Austin,1,14,38,Treatment,5,4.55
Austin,1,14,38,Treatment,10,4.73
Austin,1,14,38,Treatment,15,4.13
Austin,1,14,38,Treatment,20,4.25
Austin,1,14,38,Treatment,25,4.97
Austin,1,14,38,Treatment,30,4.85
Austin,1,14,38,Treatment,35,4.45
Austin,1,14,38,Treatment,40,4.25
Austin,1,14,38,Treatment,45,3.89
Austin,1,14,38,Treatment,50,4.49
Austin,1,14,38,Treatment,55,5.23
Austin,1,15,39,Control,0,4.49
Austin,1,15,39,Control,5,4.93
Austin,1,15,39,Control,10,4.62
Austin,1,15,39,Control,15,5.13
Austin,1,15,39,Control,20,5.22
Austin,1,15,39,Control,25,5.18
Austin,1,15,39,Control,30,5.4
Austin,1,15,39,Control,35,5.29
Austin,1,15,39,Control,40,5.37
Austin,1,15,39,Control,45,5.03
Austin,1,15,39,Control,50,5.42
Austin,1,15,39,Control,55,5.61
Austin,1,16,40,Control,0,4.98
Austin,1,16,40,Control,5,5.53
Austin,1,16,40,Control,10,5.15
Austin,1,16,40,Control,15,5.55
Austin,1,16,40,Control,20,5.09
Austin,1,16,40,Control,25,5.56
Austin,1,16,40,Control,30,5.23
Austin,1,16,40,Control,35,5.26
Austin,1,16,40,Control,40,5.59
Austin,1,16,40,Control,45,5.11
Austin,1,16,40,Control,50,4.96
Austin,1,16,40,Control,55,5.09
Austin,1,17,41,Treatment,0,4.81
Austin,1,17,41,Treatment,5,5.17
Austin,1,17,41,Treatment,10,4.68
Austin,1,17,41,Treatment,15,4.91
Austin,1,17,41,Treatment,20,4.03
Austin,1,17,41,Treatment,25,4.43
Austin,1,17,41,Treatment,30,4.21
Austin,1,17,41,Treatment,35,4.42
Austin,1,17,41,Treatment,40,4.69
Austin,1,17,41,Treatment,45,4.58
Austin,1,17,41,Treatment,50,4.56
Austin,1,17,41,Treatment,55,4.59
Austin,1,18,42,Treatment,0,4.38
Austin,1,18,42,Treatment,5,4.8
Austin,1,18,42,Treatment,10,4.79
Austin,1,18,42,Treatment,15,4.72
Austin,1,18,42,Treatment,20,4.77
Austin,1,18,42,Treatment,25,4.7
Austin,1,18,42,Treatment,30,5.14
Austin,1,18,42,Treatment,35,4.61
Austin,1,18,42,Treatment,40,4.55
Austin,1,18,42,Treatment,45,4.44
Austin,1,18,42,Treatment,50,4.37
Austin,1,18,42,Treatment,55,4.32
Austin,1,19,43,Treatment,0,4.5
Austin,1,19,43,Treatment,5,4.41
Austin,1,19,43,Treatment,10,4.61
Austin,1,19,43,Treatment,15,4.71
Austin,1,19,43,Treatment,20,4.64
Austin,1,19,43,Treatment,25,4.44
Austin,1,19,43,Treatment,30,4.85
Austin,1,19,43,Treatment,35,4.81
Austin,1,19,43,Treatment,40,4.59
Austin,1,19,43,Treatment,45,4.46
Austin,1,19,43,Treatment,50,4.77
Austin,1,19,43,Treatment,55,4.67
Austin,1,20,44,Control,0,4.61
Austin,1,20,44,Control,5,4.88
Austin,1,20,44,Control,10,4.78
Austin,1,20,44,Control,15,5.25
Austin,1,20,44,Control,20,4.84
Austin,1,20,44,Control,25,5.53
Austin,1,20,44,Control,30,5.51
Austin,1,20,44,Control,35,5.14
Austin,1,20,44,Control,40,5.29
Austin,1,20,44,Control,45,4.6
Austin,1,20,44,Control,50,4.91
Austin,1,20,44,Control,55,5.13
Austin,1,21,45,Control,0,5.38
Austin,1,21,45,Control,5,5.7
Austin,1,21,45,Control,10,4.91
Austin,1,21,45,Control,15,4.99
Austin,1,21,45,Control,20,5.26
Austin,1,21,45,Control,25,5.6
Austin,1,21,45,Control,30,4.89
Austin,1,21,45,Control,35,5.26
Austin,1,21,45,Control,40,5.66
Austin,1,21,45,Control,45,4.79
Austin,1,21,45,Control,50,4.88
Austin,1,21,45,Control,55,5.09
Austin,1,22,46,Treatment,0,5.4
Austin,1,22,46,Treatment,5,5.07
Austin,1,22,46,Treatment,10,4.37
Austin,1,22,46,Treatment,15,4.76
Austin,1,22,46,Treatment,20,4.48
Austin,1,22,46,Treatment,25,4.95
Austin,1,22,46,Treatment,30,4.47
Austin,1,22,46,Treatment,35,4.47
Austin,1,22,46,Treatment,40,4.76
Austin,1,22,46,Treatment,45,4.82
Austin,1,22,46,Treatment,50,4.74
Austin,1,22,46,Treatment,55,4.21
Austin,1,23,47,Treatment,0,4.37
Austin,1,23,47,Treatment,5,4.69
Austin,1,23,47,Treatment,10,4.27
Austin,1,23,47,Treatment,15,4.74
Austin,1,23,47,Treatment,20,4.43
Austin,1,23,47,Treatment,25,4.31
Austin,1,23,47,Treatment,30,4.81
Austin,1,23,47,Treatment,35,4.69
Austin,1,23,47,Treatment,40,4.47
Austin,1,23,47,Treatment,45,4.99
Austin,1,23,47,Treatment,50,4.52
Austin,1,23,47,Treatment,55,4.64
Austin,2,0,48,Control,0,4.47
Austin,2,0,48,Control,5,4.94
Austin,2,0,48,Control,10,4.88
Austin,2,0,48,Control,15,5.1
Austin,2,0,48,Control,20,5.54
Austin,2,0,48,Control,25,4.94
Austin,2,0,48,Control,30,4.6
Austin,2,0,48,Control,35,5.6
Austin,2,0,48,Control,40,5.84
Austin,2,0,48,Control,45,5.1
Austin,2,0,48,Control,50,4.72
Austin,2,0,48,Control,55,5.12
Austin,2,1,49,Treatment,0,5.15
Austin,2,1,49,Treatment,5,4.73
Austin,2,1,49,Treatment,10,4.96
Austin,2,1,49,Treatment,15,4.76
Austin,2,1,49,Treatment,20,4.25
Austin,2,1,49,Treatment,25,4.8
Austin,2,1,49,Treatment,30,5.14
Austin,2,1,49,Treatment,35,4.67
Austin,2,1,49,Treatment,40,4.54
Austin,2,1,49,Treatment,45,4.59
Austin,2,1,49,Treatment,50,4.78
Austin,2,1,49,Treatment,55,4.2
Austin,2,2,50,Treatment,0,4.53
Austin,2,2,50,Treatment,5,5.09
Austin,2,2,50,Treatment,10,4.58
Austin,2,2,50,Treatment,15,5.04
Austin,2,2,50,Treatment,20,4.35
Austin,2,2,50,Treatment,25,4.77
Austin,2,2,50,Treatment,30,4.71
Austin,2,2,50,Treatment,35,4.41
Austin,2,2,50,Treatment,40,4.67
Austin,2,2,50,Treatment,45,4.93
Austin,2,2,50,Treatment,50,4.55
Austin,2,2,50,Treatment,55,4.21
Austin,2,3,51,Control,0,4.4
Austin,2,3,51,Control,5,4.73
Austin,2,3,51,Control,10,4.99
Austin,2,3,51,Control,15,4.77
Austin,2,3,51,Control,20,4.8
Austin,2,3,51,Control,25,5.32
Austin,2,3,51,Control,30,5.07
Austin,2,3,51,Control,35,4.56
Austin,2,3,51,Control,40,5.4
Austin,2,3,51,Control,45,5.27
Austin,2,3,51,Control,50,5.02
Austin,2,3,51,Control,55,4.87
Austin,2,4,52,Treatment,0,5.29
Austin,2,4,52,Treatment,5,5.6
Austin,2,4,52,Treatment,10,4.92
Austin,2,4,52,Treatment,15,4.72
Austin,2,4,52,Treatment,20,4.59
Austin,2,4,52,Treatment,25,4.83
Austin,2,4,52,Treatment,30,4.78
Austin,2,4,52,Treatment,35,4.94
Austin,2,4,52,Treatment,40,4.5
Austin,2,4,52,Treatment,45,4.52
Austin,2,4,52,Treatment,50,4.51
Austin,2,4,52,Treatment,55,4.83
Austin,2,5,53,Treatment,0,4.51
Austin,2,5,53,Treatment,5,4.52
Austin,2,5,53,Treatment,10,4.71
Austin,2,5,53,Treatment,15,4.57
Austin,2,5,53,Treatment,20,4.87
Austin,2,5,53,Treatment,25,4.07
Austin,2,5,53,Treatment,30,4.42
Austin,2,5,53,Treatment,35,4.43
Austin,2,5,53,Treatment,40,4.05
Austin,2,5,53,Treatment,45,4.39
Austin,2,5,53,Treatment,50,4.4
Austin,2,5,53,Treatment,55,4.58
Austin,2,6,54,Treatment,0,4.57
Austin,2,6,54,Treatment,5,4.37
Austin,2,6,54,Treatment,10,4.61
Austin,2,6,54,Treatment,15,4.89
Austin,2,6,54,Treatment,20,4.38
Austin,2,6,54,Treatment,25,4.4
Austin,2,6,54,Treatment,30,4.77
Austin,2,6,54,Treatment,35,4.57
Austin,2,6,54,Treatment,40,4.79
Austin,2,6,54,Treatment,45,4.62
Austin,2,6,54,Treatment,50,4.8
Austin,2,6,54,Treatment,55,4.37
Austin,2,7,55,Treatment,0,4.58
Austin,2,7,55,Treatment,5,4.32
Austin,2,7,55,Treatment,10,4.24
Austin,2,7,55,Treatment,15,4.8
Austin,2,7,55,Treatment,20,4.54
Austin,2,7,55,Treatment,25,4.37
Austin,2,7,55,Treatment,30,4.6
Austin,2,7,55,Treatment,35,4.91
Austin,2,7,55,Treatment,40,4.06
Austin,2,7,55,Treatment,45,4.25
Austin,2,7,55,Treatment,50,4.4
Austin,2,7,55,Treatment,55,4.99
Austin,2,8,56,Treatment,0,4.82
Austin,2,8,56,Treatment,5,4.34
Austin,2,8,56,Treatment,10,4.35
Austin,2,8,56,Treatment,15,4.74
Austin,2,8,56,Treatment,20,4.64
Austin,2,8,56,Treatment,25,4.77
Austin,2,8,56,Treatment,30,4.58
Austin,2,8,56,Treatment,35,4.7
Austin,2,8,56,Treatment,40,4.67
Austin,2,8,56,Treatment,45,4.82
Austin,2,8,56,Treatment,50,4.83
Austin,2,8,56,Treatment,55,4.22
Austin,2,9,57,Control,0,4.88
Austin,2,9,57,Control,5,5.12
Austin,2,9,57,Control,10,4.75
Austin,2,9,57,Control,15,4.74
Austin,2,9,57,Control,20,5.22
Austin,2,9,57,Control,25,5.43
Austin,2,9,57,Control,30,5.65
Austin,2,9,57,Control,35,5.33
Austin,2,9,57,Control,40,5.11
